Issue Type,Issue Id,Parent Id,Epic Name,Epic Link,Summary,Description,Priority,Story Points,Status,Labels,Component
Sub-task,PG-606-1,PG-606,,,Report template editor,Allow compliance officers to customise section order and content of generated reports.,Medium,,To Do,,AI Governance
Sub-task,PG-606-2,PG-606,,,Scheduled report delivery,Configure automatic report generation and email delivery on a set cadence.,Medium,,To Do,,AI Governance
Epic,PG-700,,Risk & Vendor Governance,,Risk register and vendor risk assessment,"Risk register with IBM/MIT framework support, vendor onboarding, scorecard-based third-party risk assessment, and risk-to-control linkage.",High,,In Progress,"ai-governance,risk,vendor",AI Governance
Story,PG-701,,,Risk & Vendor Governance,Risk register with IBM/MIT framework support,"Risk entry with name, category, owner, likelihood, impact, auto-calculated severity, and IBM/MIT/Custom taxonomy alignment; auto-generated IDs; audit trail.",High,5,Done,"ai-governance,risk",AI Governance
Sub-task,PG-701-1,PG-701,,,Risk ID auto-generation,Generate IDs in RISK-YYYY-NNN format on creation.,Medium,,Done,,AI Governance
Sub-task,PG-701-2,PG-701,,,CSV bulk import,Import risk register entries from a CSV template.,Low,,Done,,AI Governance
Story,PG-702,,,Risk & Vendor Governance,Risk lifecycle & mitigation tracking,"Status lifecycle (Identified→Mitigating→Mitigated→Accepted→Closed); mitigation actions linked to Tasks; residual risk recording; re-assessment reminders.",High,3,Done,"ai-governance,risk",AI Governance
Sub-task,PG-702-1,PG-702,,,Risk re-assessment reminder scheduler,Trigger re-assessment reminder to risk owner at configurable interval.,Medium,,Done,,AI Governance
Story,PG-703,,,Risk & Vendor Governance,Vendor management & onboarding,"Vendor register with service category, contact, risk level, contract dates; contract expiry notifications at 90/30/7 days; archive on contract end.",High,3,Done,"ai-governance,vendor",AI Governance
Sub-task,PG-703-1,PG-703,,,Contract expiry notification scheduler,Send email to vendor owner at 90, 30, and 7 days before contract expiry.,Medium,,Done,,AI Governance
Story,PG-704,,,Risk & Vendor Governance,Vendor risk scorecard & review cycle management,"Multi-dimension scorecard (Security, Privacy, Operational, Compliance, Financial); configurable review cycles; scorecard history and trend view; PDF export.",High,5,Done,"ai-governance,vendor",AI Governance
Sub-task,PG-704-1,PG-704,,,Scorecard template configuration per vendor category,Define different default scorecard templates for SaaS vs infrastructure vs data vendors.,Medium,,Done,,AI Governance
Sub-task,PG-704-2,PG-704,,,Scorecard PDF export,Generate a branded PDF of a completed vendor scorecard for sharing.,Low,,Done,,AI Governance
Story,PG-705,,,Risk & Vendor Governance,Risk-to-evidence & control linking,"Link risks to Evidence Hub files and framework controls; risk-to-use-case mapping; linked-risk count badge on control cards.",Medium,3,Done,"ai-governance,risk,evidence",AI Governance
Sub-task,PG-705-1,PG-705,,,Risk-to-use-case mapping,Associate risks with one or more AI use cases for portfolio-level query.,Medium,,Done,,AI Governance
Story,PG-706,,,Risk & Vendor Governance,Risk heatmap & portfolio analytics,"Interactive likelihood×impact heatmap; portfolio summary (counts by severity/category); 12-month trend chart; executive PDF snapshot; concentration alerts.",Medium,5,To Do,"ai-governance,risk",AI Governance
Sub-task,PG-706-1,PG-706,,,Risk concentration alert,Alert risk owner when more than N High risks accumulate in the same category.,Medium,,To Do,,AI Governance
Sub-task,PG-706-2,PG-706,,,Executive risk summary PDF,One-page PDF export of heatmap + portfolio summary for board reporting.,Medium,,To Do,,AI Governance
Epic,PG-800,,AI Model Lifecycle Management,,Model inventory cards evaluations and retirement,"AI model registry with EU AI Act Annex IV model cards, per-model risk assessment, evidence hub, evaluation project integration, and retirement workflow.",High,,In Progress,"ai-governance,models,lifecycle",AI Governance
Story,PG-801,,,AI Model Lifecycle Management,Model inventory & registration,"Central registry: provider, version, type, use case, EU AI Act risk classification (Unacceptable/High/Limited/Minimal), lifecycle stage; auto-generated IDs; full audit trail.",High,3,Done,"ai-governance,models",AI Governance
Sub-task,PG-801-1,PG-801,,,EU AI Act Annex III auto-classification prompt,Suggest risk classification based on selected use-case type when registering a model.,Medium,,Done,,AI Governance
Sub-task,PG-801-2,PG-801,,,Bulk model import,Import model records from a structured CSV template.,Low,,Done,,AI Governance
Story,PG-802,,,AI Model Lifecycle Management,Model card documentation (EU AI Act Annex IV),"Structured model card with Annex IV sections (Intended Purpose, Training Data, Performance, Limitations, Prohibited Uses, Human Oversight); version history; PDF export.",High,5,Done,"ai-governance,models",AI Governance
Sub-task,PG-802-1,PG-802,,,Annex IV completeness indicator,Show a completeness % badge on the model card based on required Annex IV fields filled.,Medium,,Done,,AI Governance
Sub-task,PG-802-2,PG-802,,,Model card PDF export,Generate a branded PDF of the model card for inclusion in technical documentation packages.,Medium,,Done,,AI Governance
Story,PG-803,,,AI Model Lifecycle Management,Per-model risk assessment,"Model-scoped risks appear in both model risk tab and global Risk Register; EU AI Act Annex III indicator; model risk summary badge on inventory list.",High,3,Done,"ai-governance,models,risk",AI Governance
Sub-task,PG-803-1,PG-803,,,Automated risk level suggestion,Suggest initial risk level when model type + use-case pair matches a known high-risk pattern.,Medium,,Done,,AI Governance
Story,PG-804,,,AI Model Lifecycle Management,Model evidence hub,"Model-scoped evidence storage; files discoverable from global Evidence Hub; links propagate to framework controls; freshness indicator flags files >90 days old.",High,3,Done,"ai-governance,models,evidence",AI Governance
Sub-task,PG-804-1,PG-804,,,Evidence freshness indicator,Flag evidence files not updated in more than 90 days with a visual warning badge.,Medium,,Done,,AI Governance
Story,PG-805,,,AI Model Lifecycle Management,Model evaluation integration (EvalServer),"Evaluation projects linked to models; LLM API key management per org (OpenAI, Anthropic, Gemini, Mistral, xAI); dataset editor; experiment results with score/latency/cost; benchmark comparison.",High,8,Done,"ai-governance,models,evals",AI Governance
Sub-task,PG-805-1,PG-805,,,Evaluation result history,Store all experiment runs per project; allow historical result browsing and comparison.,Medium,,Done,,AI Governance
Sub-task,PG-805-2,PG-805,,,Dataset versioning,Track versions of evaluation datasets; allow rollback to a prior version.,Low,,Done,,AI Governance
Sub-task,PG-805-3,PG-805,,,Fix EvalServer auth header forwarding,"Fix missing Authorization header forwarding to EvalServer in Docker; requests were rejected with 401 in containerised environment.",High,,Done,,AI Governance
Story,PG-806,,,AI Model Lifecycle Management,Model decommission & retirement workflow,"Deprecation captures reason and replacement model; evidence and model card preserved read-only; linked use cases and controls notified; regulatory checklist for High-Risk model retirements.",Medium,3,To Do,"ai-governance,models",AI Governance
Sub-task,PG-806-1,PG-806,,,Regulatory notification checklist for retired High-Risk models,Generate an EU AI Act Article 16/22-aligned checklist when a High-Risk model is deprecated.,Medium,,To Do,,AI Governance
Sub-task,PG-806-2,PG-806,,,Evidence archival freeze on model deprecation,Prevent deletion of evidence linked to a deprecated model; mark as archived read-only.,High,,To Do,,AI Governance
Epic,PG-900,,Evidence Policy & Training,,Document hub policies training and AI Trust Centre,"Versioned evidence hub, policy library with approval lifecycle, training registry, approval workflows, AI Trust Centre public page, and governed share links.",High,,In Progress,"ai-governance,evidence,policy,training",AI Governance
Story,PG-901,,,Evidence Policy & Training,Evidence hub & file management,"File upload with tags/categories/expiry; virtual folder organisation; version history; approval workflow integration; search and filter by linked entity.",High,5,Done,"ai-governance,evidence",AI Governance
Sub-task,PG-901-1,PG-901,,,Bulk upload (ZIP unpack),Accept a ZIP file and unpack contents as individual versioned evidence files.,Medium,,Done,,AI Governance
Sub-task,PG-901-2,PG-901,,,File preview for PDF and Office documents,Inline preview pane for PDF, PNG, and common Office formats without download.,Medium,,Done,,AI Governance
Story,PG-902,,,Evidence Policy & Training,Policy library & lifecycle management,"Policy lifecycle (Draft→Review→Approved→Published→Archived); rich-text editor; template library; version control; linked to framework controls as evidence.",High,5,Done,"ai-governance,policy",AI Governance
Sub-task,PG-902-1,PG-902,,,Policy acknowledgement tracking per user role,Track which users in each target role have acknowledged a published policy.,Medium,,Done,,AI Governance
Sub-task,PG-902-2,PG-902,,,Review schedule reminder,Email policy owner when a policy review date is within 30 days.,Medium,,Done,,AI Governance
Story,PG-903,,,Evidence Policy & Training,Training registry & completion tracking,"Log training programmes with provider, audience, duration, status; completion rate per programme; certificate upload; links to EU AI Act Article 26 deployer training controls.",High,3,Done,"ai-governance,training",AI Governance
Sub-task,PG-903-1,PG-903,,,Completion rate dashboard widget,Surface training completion % per programme as a widget on the governance dashboard.,Medium,,Done,,AI Governance
Sub-task,PG-903-2,PG-903,,,Overdue training reminder,Notify training owner and HR when a scheduled programme has passed its delivery date without completion.,Medium,,Done,,AI Governance
Story,PG-904,,,Evidence Policy & Training,Approval workflows & AI content review,"Configurable multi-step approval chains for evidence, policies, and AI-generated content; EU AI Act Article 52 content review queue; approval history; delegation with time limit.",High,5,Done,"ai-governance,policy,evidence",AI Governance
Sub-task,PG-904-1,PG-904,,,Approval rules configuration UI,Admin UI to define approval chain steps (approver role, order) per content type.,Medium,,Done,,AI Governance
Sub-task,PG-904-2,PG-904,,,Delegation with time limit,Approver can delegate to a substitute for a specified period; delegation auto-expires.,Medium,,Done,,AI Governance
Story,PG-905,,,Evidence Policy & Training,AI Trust Centre (public transparency page),"Public page per org at unique hash URL; Resources tab (compliance docs/certifications); Sub-processors tab (third-party DPA status); custom branding; publish/unpublish controls.",High,5,Done,"ai-governance,transparency",AI Governance
Sub-task,PG-905-1,PG-905,,,Custom branding per org,Org admin sets logo and accent colour for their public Trust Centre page.,Low,,Done,,AI Governance
Sub-task,PG-905-2,PG-905,,,Page view analytics for admins,Show admins how many times their Trust Centre page and each resource have been viewed.,Low,,Done,,AI Governance
Story,PG-906,,,Evidence Policy & Training,Governed share links & access-controlled resource export,"Time-limited share links for evidence files, framework assessments, and reports; view-only/download/comment permissions; email-gated access option; access log; revocation.",Medium,3,To Do,"ai-governance,evidence",AI Governance
Sub-task,PG-906-1,PG-906,,,Email-gated access flow,Recipient must verify their email before accessing a shared resource.,Medium,,To Do,,AI Governance
Sub-task,PG-906-2,PG-906,,,Share link audit log view,Dedicated UI to show all share links (active/expired/revoked) with access log per link.,Medium,,To Do,,AI Governance
Epic,PG-1000,,Incident Monitoring & Reporting,,Incidents post-market monitoring FRIA and reporting,"AI incident lifecycle, post-market monitoring cycles, task-based governance actions, FRIA, audit-ready governance dashboard, and scheduled report generation.",High,,In Progress,"ai-governance,incidents,monitoring,reporting",AI Governance
Story,PG-1001,,,Incident Monitoring & Reporting,AI incident management (EU AI Act Article 73),"Incident record with auto-ID, type, severity, linked system/model/risks; status lifecycle; EU AI Act Article 73 regulatory notification draft PDF; SLA breach alert.",High,5,Done,"ai-governance,incidents",AI Governance
Sub-task,PG-1001-1,PG-1001,,,Incident ID auto-generation,Generate IDs in INC-YYYY-NNN format on incident creation.,Medium,,Done,,AI Governance
Sub-task,PG-1001-2,PG-1001,,,Regulatory notification draft PDF,Pre-fill an EU AI Act Article 73 notification template from incident record fields.,High,,Done,,AI Governance
Sub-task,PG-1001-3,PG-1001,,,SLA breach alert,Alert incident owner and CRO when a High/Critical incident remains unresolved beyond the configured SLA threshold.,High,,Done,,AI Governance
Story,PG-1002,,,Incident Monitoring & Reporting,Post-market monitoring cycles,"Monitoring cycles with linked AI system, period, owner, and control scope; recurring questionnaire per cycle; archived monitoring reports; overdue cycle alerts; cycle-over-cycle comparison.",High,5,Done,"ai-governance,monitoring",AI Governance
Sub-task,PG-1002-1,PG-1002,,,Overdue cycle alert,Notify cycle owner when a scheduled monitoring cycle start date passes without initiation.,Medium,,Done,,AI Governance
Sub-task,PG-1002-2,PG-1002,,,Cycle-over-cycle comparison view,Side-by-side comparison of two completed monitoring cycles for the same AI system.,Medium,,Done,,AI Governance
Story,PG-1003,,,Incident Monitoring & Reporting,Task management & governance action tracking,"Tasks linked to risks/controls/incidents/vendors/models; priority, due date, assignee; status auto-set to Overdue at midnight past due date; task radar; recurring templates.",High,3,Done,"ai-governance,tasks",AI Governance
Sub-task,PG-1003-1,PG-1003,,,Overdue notification to assignee and owner,Email assignee and task owner when task transitions to Overdue status.,Medium,,Done,,AI Governance
Sub-task,PG-1003-2,PG-1003,,,Recurring task templates,Define task templates that spawn a new task at a fixed interval (e.g. monthly bias audit).,Low,,Done,,AI Governance
Story,PG-1004,,,Incident Monitoring & Reporting,FRIA — Fundamental Rights Impact Assessment (EU AI Act Article 27),"FRIA questionnaire per deployment; coverage of privacy/non-discrimination/human dignity/expression/remedy/data protection; risk rating per question; sign-off workflow (DPO→Legal); version history.",High,5,In Progress,"ai-governance,fria,compliance",AI Governance
Sub-task,PG-1004-1,PG-1004,,,FRIA template aligned to EU AI Act Article 27,Map all FRIA questions to the specific Article 27 obligations they satisfy.,High,,In Progress,,AI Governance
Sub-task,PG-1004-2,PG-1004,,,FRIA regulatory export format,Export completed FRIA as a structured PDF matching EU supervisory authority submission format.,Medium,,To Do,,AI Governance
Sub-task,PG-1004-3,PG-1004,,,Fix FRIA form state not persisting on tab switch,Redux slice missing rehydration on route change caused FRIA answers to reset when navigating between tabs.,High,,Done,,AI Governance
Story,PG-1005,,,Incident Monitoring & Reporting,Governance dashboard & audit readiness analytics,"Integrated dashboard: risk by severity, compliance scores, vendor risk, model lifecycle, open incidents, task radar; Audit Readiness tab (per-control scores + evidence coverage); AI Audit Trail; role-scoped views.",High,5,Done,"ai-governance,dashboard",AI Governance
Sub-task,PG-1005-1,PG-1005,,,Executive summary PDF snapshot,One-click PDF export of the current dashboard state for board or audit committee reporting.,Medium,,Done,,AI Governance
Sub-task,PG-1005-2,PG-1005,,,Role-specific dashboard view configuration,Admin configures which panels are visible for Admin/Reviewer/Auditor/Editor roles.,Medium,,Done,,AI Governance
Story,PG-1006,,,Incident Monitoring & Reporting,Report generation & scheduled delivery,"Report types: Audit Readiness, Risk Register, Vendor Risk Register, Training Completion, Evidence Inventory, Incident Log; date range and scope filters; scheduled email delivery; PDF + CSV export; report archive.",High,5,To Do,"ai-governance,reporting",AI Governance
Sub-task,PG-1006-1,PG-1006,,,Report template editor,Allow compliance officers to customise section inclusion and ordering for each report type.,Medium,,To Do,,AI Governance
Sub-task,PG-1006-2,PG-1006,,,Schedule configuration UI,UI to set report type, recipient list, cadence, and first-run date for scheduled delivery.,Medium,,To Do,,AI Governance
Sub-task,PG-1006-3,PG-1006,,,Report archive page,Browseable archive of all previously generated reports with download and re-generate actions.,Low,,To Do,,AI Governance
