Issue Type,Issue Id,Parent Id,Epic Name,Epic Link,Summary,Description,Priority,Story Points,Status,Labels,Component
Story,PG-206,,,MCP Gateway,Tool approvals (HITL) & per-tool guardrails,requires_approval tools return an approval request; admin approves/denies; per-tool input guardrails.,Medium,5,In Progress,ai-gateway,AI Gateway
Epic,PG-300,,Guardrails & Policy Enforcement,,Inline PII/content/injection controls,Request inspection that blocks or masks before the model is reached; enforced at the gateway so every agent inherits it.,High,,In Progress,"ai-gateway,guardrails,compliance",AI Gateway
Story,PG-301,,,Guardrails & Policy Enforcement,Content filter (keyword/regex),"Rules with keyword/regex patterns; block or mask. Verified self-harm regex blocks (400), clean prompt passes.",High,3,Done,ai-gateway,AI Gateway
Story,PG-302,,,Guardrails & Policy Enforcement,PII detection & masking (Presidio),"Entity detection (CREDIT_CARD, EMAIL_ADDRESS, ...) with per-entity block/mask. Verified card blocked, email masked.",High,5,Done,ai-gateway,AI Gateway
Story,PG-303,,,Guardrails & Policy Enforcement,Prompt-injection / jailbreak rules,Regex rule blocks ignore-previous-instructions / reveal-system-prompt / developer-mode attempts.,High,2,Done,ai-gateway,AI Gateway
Story,PG-304,,,Guardrails & Policy Enforcement,Guardrail logging & stats,"Log every detection (type, action, entity, matched text); aggregate stats by type/day.",Medium,2,Done,ai-gateway,AI Gateway
Story,PG-305,,,Guardrails & Policy Enforcement,Output-side (response) guardrails,"Scan and block/mask the model response, not just the request.",Medium,5,To Do,ai-gateway,AI Gateway
Story,PG-306,,,Guardrails & Policy Enforcement,Per-org body-logging & guardrail toggles,Org setting to enable/disable request/response body capture for privacy-sensitive clients.,Low,2,To Do,ai-gateway,AI Gateway
Epic,PG-400,,"Observability, Logging & Insights",,"Logs, cost, metrics & audit evidence","Per-request logging plus dashboards turning runtime telemetry into operational and audit insight (cost, usage, safety, per-user).",High,,In Progress,"ai-gateway,observability,finops",AI Gateway
Story,PG-401,,,"Observability, Logging & Insights",Per-request spend logging,"Each call logs provider, model, tokens, cost, latency, status, metadata.",High,3,Done,ai-gateway,AI Gateway
Sub-task,PG-401-1,PG-401,,,Fix :param::type SQL casts,Fix jsonb/array casts that broke spend logging and virtual-key creation under asyncpg.,High,,Done,,AI Gateway
Story,PG-402,,,"Observability, Logging & Insights",Prompt/response/requester capture,Store guardrail-scanned request messages + response text (bounded); expandable in UI; requester via x-vw-metadata; system prompts hidden.,High,5,Done,ai-gateway,AI Gateway
Story,PG-403,,,"Observability, Logging & Insights",Spend dashboard,"Totals (cost/requests/tokens), avg & P95 latency, error rate, cache hit rate; by endpoint/user/tag; period filters.",High,3,Done,ai-gateway,AI Gateway
Story,PG-404,,,"Observability, Logging & Insights",Operational insights,"Cost per client/agent, budget utilization + alerts, 429/402 counts, PII-by-type, per-agent tool latency & blocks, spend anomaly flag.",High,5,Done,ai-gateway,AI Gateway
Sub-task,PG-404-1,PG-404,,,Log 429/402 rejections,Persist rate-limit/budget rejections so they are countable in insights.,Medium,,Done,,AI Gateway
Story,PG-405,,,"Observability, Logging & Insights",External export (SIEM / monitoring),Read-only service API key + stable /metrics and logs endpoints for Vector AI / SIEM ingestion; webhooks on block/budget events.,High,5,To Do,ai-gateway,AI Gateway
Story,PG-406,,,"Observability, Logging & Insights",Log retention & purge policy,Configurable retention (days) and purge for spend/guardrail/audit logs.,Low,2,To Do,ai-gateway,AI Gateway
Epic,PG-500,,Agent Onboarding & Integration,,Onboard any agent + per-user attribution,Make onboarding a config step; any agent (basic script or multi-agent system) is governed the moment it routes through the gateway.,High,,In Progress,"ai-gateway,onboarding,agents",AI Gateway
Story,PG-501,,,Agent Onboarding & Integration,Client agent onboarding pattern,"Documented flow: provider key -> endpoint -> virtual key -> set base_url+key+slug. Validated with OpenAI SDK, LangChain, Google ADK.",High,3,Done,ai-gateway,AI Gateway
Story,PG-502,,,Agent Onboarding & Integration,Per-user identity tagging,x-vw-metadata header carries app/agent/user; surfaces in logs and spend/by-tag.,Medium,2,Done,ai-gateway,AI Gateway
Story,PG-503,,,Agent Onboarding & Integration,AIONIQ chat UI with Google Sign-In,FastAPI wrapper verifies Google ID token server-side; per-user agent attaches verified email to gateway calls; chat UI with streaming + guardrail-block messaging.,Medium,5,Done,ai-gateway,AI Gateway
Story,PG-504,,,Agent Onboarding & Integration,Agent MCP toolset wiring,ADK/LangGraph agents connect tools via /v1/mcp with an agent key; calls appear in MCP audit.,Medium,3,Done,ai-gateway,AI Gateway
Story,PG-505,,,Agent Onboarding & Integration,AI Gateway setup guide (docs),"End-to-end HTML guide: keys -> endpoints -> virtual keys -> connect -> guardrails -> MCP -> logs, with gotchas reference.",Low,2,Done,ai-gateway,AI Gateway
Story,PG-506,,,Agent Onboarding & Integration,Microsoft sign-in for agent UI,Entra ID sign-in option on the agent chat (platform Entra SSO already enabled; extend to the agent wrapper).,Medium,3,In Progress,ai-gateway,AI Gateway
